id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
1293350,两杆大烟枪," Lock, Stock and Two Smoking Barrels",1998,9.1,679116,盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng,,,剧情 喜剧 犯罪,英国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,68,,https://movie.douban.com/subject/1293350/
1900841,窃听风暴, Das Leben der Anderen,2006,9.2,633001,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n... 2006,,,剧情 悬疑,德国,,,,,,别样人生。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,69,,https://movie.douban.com/subject/1900841/
1291543,功夫,,2004,8.9,1338970,周星驰 Stephen Chow   主演: 周星驰 Stephen Chow,,,动作 喜剧 犯罪 奇幻,中国大陆 中国香港,,,,,,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,70,,https://movie.douban.com/subject/1291543/
1294408,音乐之声, The Sound of Music,1965,9.1,685388,罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews,,,剧情 传记 爱情 歌舞,美国,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,71,,https://movie.douban.com/subject/1294408/
1291544,哈利·波特与阿兹卡班的囚徒, Harry Potter and the Prisoner of Azkaban,2004,9.0,893006,阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad... 2004,,,奇幻 冒险,英国 美国,,,,,,不一样的导演，不一样的哈利·波特。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg,72,,https://movie.douban.com/subject/1291544/
1652587,阿凡达, Avatar,2009,8.8,1588428,詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ... 2009,,,动作 科幻 冒险,美国,,,,,,绝对意义上的美轮美奂。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,73,,https://movie.douban.com/subject/1652587/
1292402,西西里的美丽传说, Malèna,2000,8.9,1094979,朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ... 2000,,,剧情 战争 情色,意大利 美国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,74,,https://movie.douban.com/subject/1292402/
26580232,看不见的客人, Contratiempo,2016,8.8,1443476,奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas,,,剧情 犯罪 悬疑 惊悚,西班牙,,,,,,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,75,,https://movie.douban.com/subject/26580232/
1292849,拯救大兵瑞恩, Saving Private Ryan,1998,9.1,726343,史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks... 1998,,,剧情 战争,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,76,,https://movie.douban.com/subject/1292849/
1293544,沉默的羔羊, The Silence of the Lambs,1991,8.9,1018256,乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster,,,剧情 犯罪 惊悚,美国,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,77,,https://movie.douban.com/subject/1293544/
